cytoband	11q13.3	5p15.33	5p13.1	11q14.1	1q12	22q13.2	5p14.3	7p22.1	22q13.1	11q22.2	5p15.31	4p11	22q11.21	12q14.1	5p13.3	6p24.3	16p11.2	7q32.3	
																		LOC100129148	
																		LOC100130880	
																		JHDM1D-AS1	
																		NDUFB2-AS1	
																		CTAGE8	
																		MOXD2P	
																		ZNF783	
																		MIR548F4	
																		MTRNR2L6	
																		MIR3654	
																		LOC100506860	
																		MKLN1-AS	
																		LOC100506937	
																		TMEM178B	
																		LOC100507507	
																		MIR4468	
																		C7orf55-LUC7L2	
																		OR2A1-AS1	
																		LOC101928605	
																		LOC101928700	
																		LOC101928782	
																		LOC101928807	
																		LOC101928861	
																		MIR6133	
																		MIR6509	
																		MIR6892	
																		GHET1	
																		LOC105375504	
																		LOC105375512	
																		LOC105375545	
																		LOC105375556	
